"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 05 10:09:08 GMT 2025","Thu Jun 05 10:09:11 GMT 2025","3636","Petstore API Test Suite","Smoke API Tests","com.github.artbi.api.petstore.tests.functional.pet.CreateRetrievePetTest","com.github.artbi.api.petstore.tests.functional.pet.CreateRetrievePetTest","testCreateAndGetPet","testCreateAndGetPet","Test creating a new pet and then retrieving it by ID"
"passed","Thu Jun 05 10:09:12 GMT 2025","Thu Jun 05 10:09:12 GMT 2025","230","Petstore API Test Suite","Regression API Tests","com.github.artbi.api.petstore.tests.functional.pet.UpdatePetTest","com.github.artbi.api.petstore.tests.functional.pet.UpdatePetTest","testUpdatePetStatus","testUpdatePetStatus","Test updating a pet's status and verifying the change"
"passed","Thu Jun 05 10:09:11 GMT 2025","Thu Jun 05 10:09:12 GMT 2025","409","Petstore API Test Suite","Regression API Tests","com.github.artbi.api.petstore.tests.functional.pet.FindPetTest","com.github.artbi.api.petstore.tests.functional.pet.FindPetTest","testFindPetsByStatus","testFindPetsByStatus","Test finding pets by status and verifying the results"
"passed","Thu Jun 05 10:09:12 GMT 2025","Thu Jun 05 10:09:12 GMT 2025","85","Petstore API Test Suite","Regression API Tests","com.github.artbi.api.petstore.tests.functional.pet.FindPetTest","com.github.artbi.api.petstore.tests.functional.pet.FindPetTest","testFindPetsByStatus","testFindPetsByStatus","Test finding pets by status and verifying the results"
"passed","Thu Jun 05 10:09:11 GMT 2025","Thu Jun 05 10:09:12 GMT 2025","249","Petstore API Test Suite","Regression API Tests","com.github.artbi.api.petstore.tests.functional.pet.DeletePetTest","com.github.artbi.api.petstore.tests.functional.pet.DeletePetTest","testDeletePet","testDeletePet","Test deleting a pet and verifying it no longer exists"
"passed","Thu Jun 05 10:09:12 GMT 2025","Thu Jun 05 10:09:12 GMT 2025","58","Petstore API Test Suite","Regression API Tests","com.github.artbi.api.petstore.tests.functional.pet.FindPetTest","com.github.artbi.api.petstore.tests.functional.pet.FindPetTest","testFindPetsByStatus","testFindPetsByStatus","Test finding pets by status and verifying the results"
